Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = test_out
3        = counter_out
4        = done_out

Data Table:

Signals-> 0        1   2 3   4 

sample

-128      8221189  138 0 0   0 
-127      8221189  138 0 0   0 
-126      8221189  138 0 0   0 
-125      8221189  138 0 0   0 
-124      8221189  138 0 0   0 
-123      8221189  138 0 0   0 
-122      8221189  138 0 0   0 
-121      8221189  138 0 0   0 
-120      8221189  138 0 0   0 
-119      8221189  138 0 0   0 
-118      8221189  138 0 0   0 
-117      8221189  138 0 0   0 
-116      8221189  138 0 0   0 
-115      8221189  138 0 0   0 
-114      8221189  138 0 0   0 
-113      8221189  138 0 0   0 
-112      8221189  138 0 0   0 
-111      8221189  138 0 0   0 
-110      8221189  138 0 0   0 
-109      8221189  138 0 0   0 
-108      8221189  138 0 0   0 
-107      8221189  138 0 0   0 
-106      8221189  138 0 0   0 
-105      8221189  138 0 0   0 
-104      8221189  138 0 0   0 
-103      8221189  138 0 0   0 
-102      8221189  138 0 0   0 
-101      8221189  138 0 0   0 
-100      8221189  138 0 0   0 
-99       8221189  138 0 0   0 
-98       8221189  138 0 0   0 
-97       8221189  138 0 0   0 
-96       8221189  138 0 0   0 
-95       8221189  138 0 0   0 
-94       8221189  138 0 0   0 
-93       8221189  138 0 0   0 
-92       8221189  138 0 0   0 
-91       8221189  138 0 0   0 
-90       8221189  138 0 0   0 
-89       8221189  138 0 0   0 
-88       8221189  138 0 0   0 
-87       8221189  138 0 0   0 
-86       8221189  138 0 0   0 
-85       8221189  138 0 0   0 
-84       8221189  138 0 0   0 
-83       8221189  138 0 0   0 
-82       8221189  138 0 0   0 
-81       8221189  138 0 0   0 
-80       8221189  138 0 0   0 
-79       8221189  138 0 0   0 
-78       8221189  138 0 0   0 
-77       8221189  138 0 0   0 
-76       8221189  138 0 0   0 
-75       8221189  138 0 0   0 
-74       8221189  138 0 0   0 
-73       8221189  138 0 0   0 
-72       8221189  138 0 0   0 
-71       8221189  138 0 0   0 
-70       8221189  138 0 0   0 
-69       8221189  138 0 0   0 
-68       8221189  138 0 0   0 
-67       8221189  138 0 0   0 
-66       8221189  138 0 0   0 
-65       8221189  138 0 0   0 
-64       8221189  138 0 0   0 
-63       8221189  138 0 0   0 
-62       8221189  138 0 0   0 
-61       8221189  138 0 0   0 
-60       8221189  138 0 0   0 
-59       8221189  138 0 0   0 
-58       8221189  138 0 0   0 
-57       8221189  138 0 0   0 
-56       8221189  138 0 0   0 
-55       8221189  138 0 0   0 
-54       8221189  138 0 0   0 
-53       8221189  138 0 0   0 
-52       8221189  138 0 0   0 
-51       8221189  138 0 0   0 
-50       8221189  138 0 0   0 
-49       8221189  138 0 0   0 
-48       8221189  138 0 0   0 
-47       8221189  138 0 0   0 
-46       8221189  138 0 0   0 
-45       8221189  138 0 0   0 
-44       8221189  138 0 0   0 
-43       8221189  138 0 0   0 
-42       8221189  138 0 0   0 
-41       8221189  138 0 0   0 
-40       8221189  138 0 0   0 
-39       8221189  138 0 0   0 
-38       8221189  138 0 0   0 
-37       8221189  138 0 0   0 
-36       8221189  138 0 0   0 
-35       8221189  138 0 0   0 
-34       8221189  138 0 0   0 
-33       8221189  138 0 0   0 
-32       8221189  138 0 0   0 
-31       8221189  138 0 0   0 
-30       8221189  138 0 0   0 
-29       8221189  138 0 0   0 
-28       8221189  138 0 0   0 
-27       8221189  138 0 0   0 
-26       8221189  138 0 0   0 
-25       8221189  138 0 0   0 
-24       8221189  138 0 0   0 
-23       8221189  138 0 0   0 
-22       8221189  138 0 0   0 
-21       8221189  138 0 0   0 
-20       8221189  138 0 0   0 
-19       8221189  138 0 0   0 
-18       8221189  138 0 0   0 
-17       8221189  138 0 0   0 
-16       8221189  138 0 0   0 
-15       8221189  138 0 0   0 
-14       8221189  138 0 0   0 
-13       8221189  138 0 0   0 
-12       8221189  138 0 0   0 
-11       8221189  138 0 0   0 
-10       8221189  138 0 0   0 
-9        8221189  138 0 0   0 
-8        8221189  138 0 0   0 
-7        8221189  138 0 0   0 
-6        8221189  138 0 0   0 
-5        8221189  138 0 0   0 
-4        8221189  138 0 0   0 
-3        8221189  138 0 0   0 
-2        8221189  138 0 0   0 
-1        8221189  138 0 0   0 
0         -8224873 199 1 1   0 
1         -8222540 221 1 2   0 
2         -8105257 168 1 3   0 
3         -8091849 147 1 4   0 
4         -8010835 24  1 5   0 
5         -7991699 76  1 6   0 
6         -7869769 181 1 7   0 
7         -7752872 254 1 8   0 
8         -7692961 48  1 9   0 
9         -7543185 42  1 10  0 
10        -7506504 21  1 11  0 
11        -7460561 20  1 12  0 
12        -7275182 235 1 13  0 
13        -7255692 134 1 14  0 
14        -7239783 216 1 15  0 
15        -7179143 98  1 16  0 
16        -7136783 167 1 17  0 
17        -7131757 129 1 18  0 
18        -7100750 36  1 19  0 
19        -7084692 11  1 20  0 
20        -7081344 171 1 21  0 
21        -7072618 163 1 22  0 
22        -6929643 209 1 23  0 
23        -6907107 239 1 24  0 
24        -6885828 166 1 25  0 
25        -6872935 61  1 26  0 
26        -6807818 229 1 27  0 
27        -6784188 66  1 28  0 
28        -6696664 39  1 29  0 
29        -6564711 178 1 30  0 
30        -6531904 227 1 31  0 
31        -6375019 52  1 32  0 
32        -6331527 58  1 33  0 
33        -6282192 22  1 34  0 
34        -6074258 186 1 35  0 
35        -6035091 195 1 36  0 
36        -5894000 158 1 37  0 
37        -5776163 201 1 38  0 
38        -5765514 120 1 39  0 
39        -5508111 223 1 40  0 
40        -5466858 59  1 41  0 
41        -5455318 12  1 42  0 
42        -5416704 140 1 43  0 
43        -5411027 32  1 44  0 
44        -5347231 119 1 45  0 
45        -5347135 212 1 46  0 
46        -5257715 47  1 47  0 
47        -5209531 189 1 48  0 
48        -5023859 25  1 49  0 
49        -4969418 51  1 50  0 
50        -4895746 67  1 51  0 
51        -4880555 244 1 52  0 
52        -4880414 7   1 53  0 
53        -4879626 177 1 54  0 
54        -4873749 175 1 55  0 
55        -4858240 107 1 56  0 
56        -4850210 124 1 57  0 
57        -4750323 72  1 58  0 
58        -4720065 190 1 59  0 
59        -4546356 152 1 60  0 
60        -4534209 89  1 61  0 
61        -4520458 74  1 62  0 
62        -4244808 109 1 63  0 
63        -4231842 91  1 64  0 
64        -4177889 187 1 65  0 
65        -4158328 53  1 66  0 
66        -4156764 236 1 67  0 
67        -4101096 118 1 68  0 
68        -4040871 54  1 69  0 
69        -4037094 130 1 70  0 
70        -3998677 215 1 71  0 
71        -3976191 240 1 72  0 
72        -3931279 49  1 73  0 
73        -3913334 194 1 74  0 
74        -3819086 117 1 75  0 
75        -3818989 40  1 76  0 
76        -3668761 97  1 77  0 
77        -3544222 183 1 78  0 
78        -3461648 31  1 79  0 
79        -3318810 149 1 80  0 
80        -3313363 43  1 81  0 
81        -3291170 184 1 82  0 
82        -3280115 92  1 83  0 
83        -3103063 33  1 84  0 
84        -3043492 161 1 85  0 
85        -3042603 13  1 86  0 
86        -2889519 108 1 87  0 
87        -2792963 226 1 88  0 
88        -2790763 231 1 89  0 
89        -2657847 62  1 90  0 
90        -2621761 202 1 91  0 
91        -2601747 56  1 92  0 
92        -2556222 205 1 93  0 
93        -2480133 71  1 94  0 
94        -2414541 241 1 95  0 
95        -2340914 219 1 96  0 
96        -2216185 207 1 97  0 
97        -2216152 14  1 98  0 
98        -2134292 15  1 99  0 
99        -2127513 27  1 100 0 
100       -2107149 141 1 101 0 
101       -2104699 206 1 102 0 
102       -2056450 75  1 103 0 
103       -1987764 132 1 104 0 
104       -1986922 113 1 105 0 
105       -1920567 63  1 106 0 
106       -1879458 179 1 107 0 
107       -1861587 64  1 108 0 
108       -1565696 0   1 109 0 
109       -1486554 8   1 110 0 
110       -1399498 23  1 111 0 
111       -1330075 99  1 112 0 
112       -970223  2   1 113 0 
113       -944135  80  1 114 0 
114       -922124  65  1 115 0 
115       -649423  50  1 116 0 
116       -576183  135 1 117 0 
117       -563707  44  1 118 0 
118       -401027  46  1 119 0 
119       -371250  156 1 120 0 
120       -368835  164 1 121 0 
121       -353174  55  1 122 0 
122       -345829  73  1 123 0 
123       -296185  174 1 124 0 
124       -270096  100 1 125 0 
125       -237854  182 1 126 0 
126       -192627  125 1 127 0 
127       -28456   37  1 128 0 
128       76389    162 1 129 0 
129       240681   127 1 130 0 
130       315520   79  1 131 0 
131       411591   35  1 132 0 
132       449446   255 1 133 0 
133       474580   237 1 134 0 
134       551418   133 1 135 0 
135       637435   154 1 136 0 
136       710035   243 1 137 0 
137       801434   153 1 138 0 
138       802274   1   1 139 0 
139       883747   101 1 140 0 
140       896095   5   1 141 0 
141       947077   30  1 142 0 
142       950494   90  1 143 0 
143       1139874  106 1 144 0 
144       1158150  45  1 145 0 
145       1209867  115 1 146 0 
146       1305698  87  1 147 0 
147       1311420  26  1 148 0 
148       1416179  233 1 149 0 
149       1424332  57  1 150 0 
150       1519064  96  1 151 0 
151       1529924  60  1 152 0 
152       1545357  3   1 153 0 
153       1687838  170 1 154 0 
154       1761368  210 1 155 0 
155       1781591  151 1 156 0 
156       1783833  6   1 157 0 
157       1829015  203 1 158 0 
158       1989329  18  1 159 0 
159       1995287  213 1 160 0 
160       2008931  131 1 161 0 
161       2011855  114 1 162 0 
162       2054039  41  1 163 0 
163       2108637  136 1 164 0 
164       2182546  122 1 165 0 
165       2184469  142 1 166 0 
166       2316941  94  1 167 0 
167       2328815  110 1 168 0 
168       2329358  192 1 169 0 
