Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0        1   2   3 4 

sample

-128      0        00h 0   0 0 
-127      0        00h 0   0 0 
-126      0        00h 0   0 0 
-125      0        00h 0   0 0 
-124      0        00h 0   0 0 
-123      0        00h 0   0 0 
-122      0        00h 0   0 0 
-121      0        00h 0   0 0 
-120      0        00h 0   0 0 
-119      0        00h 0   0 0 
-118      0        00h 0   0 0 
-117      0        00h 0   0 0 
-116      0        00h 0   0 0 
-115      0        00h 0   0 0 
-114      0        00h 0   0 0 
-113      0        00h 0   0 0 
-112      0        00h 0   0 0 
-111      0        00h 0   0 0 
-110      0        00h 0   0 0 
-109      0        00h 0   0 0 
-108      0        00h 0   0 0 
-107      0        00h 0   0 0 
-106      0        00h 0   0 0 
-105      0        00h 0   0 0 
-104      0        00h 0   0 0 
-103      0        00h 0   0 0 
-102      0        00h 0   0 0 
-101      0        00h 0   0 0 
-100      0        00h 0   0 0 
-99       0        00h 0   0 0 
-98       0        00h 0   0 0 
-97       0        00h 0   0 0 
-96       0        00h 0   0 0 
-95       0        00h 0   0 0 
-94       0        00h 0   0 0 
-93       0        00h 0   0 0 
-92       0        00h 0   0 0 
-91       0        00h 0   0 0 
-90       0        00h 0   0 0 
-89       0        00h 0   0 0 
-88       0        00h 0   0 0 
-87       0        00h 0   0 0 
-86       0        00h 0   0 0 
-85       0        00h 0   0 0 
-84       0        00h 0   0 0 
-83       0        00h 0   0 0 
-82       0        00h 0   0 0 
-81       0        00h 0   0 0 
-80       0        00h 0   0 0 
-79       0        00h 0   0 0 
-78       0        00h 0   0 0 
-77       0        00h 0   0 0 
-76       0        00h 0   0 0 
-75       0        00h 0   0 0 
-74       0        00h 0   0 0 
-73       0        00h 0   0 0 
-72       0        00h 0   0 0 
-71       0        00h 0   0 0 
-70       0        00h 0   0 0 
-69       0        00h 0   0 0 
-68       0        00h 0   0 0 
-67       0        00h 0   0 0 
-66       0        00h 0   0 0 
-65       0        00h 0   0 0 
-64       0        00h 0   0 0 
-63       0        00h 0   0 0 
-62       0        00h 0   0 0 
-61       0        00h 0   0 0 
-60       0        00h 0   0 0 
-59       0        00h 0   0 0 
-58       0        00h 0   0 0 
-57       0        00h 0   0 0 
-56       0        00h 0   0 0 
-55       0        00h 0   0 0 
-54       0        00h 0   0 0 
-53       0        00h 0   0 0 
-52       0        00h 0   0 0 
-51       0        00h 0   0 0 
-50       0        00h 0   0 0 
-49       0        00h 0   0 0 
-48       0        00h 0   0 0 
-47       0        00h 0   0 0 
-46       0        00h 0   0 0 
-45       0        00h 0   0 0 
-44       0        00h 0   0 0 
-43       0        00h 0   0 0 
-42       0        00h 0   0 0 
-41       0        00h 0   0 0 
-40       0        00h 0   0 0 
-39       0        00h 0   0 0 
-38       0        00h 0   0 0 
-37       0        00h 0   0 0 
-36       0        00h 0   0 0 
-35       0        00h 0   0 0 
-34       0        00h 0   0 0 
-33       0        00h 0   0 0 
-32       0        00h 0   0 0 
-31       0        00h 0   0 0 
-30       0        00h 0   0 0 
-29       0        00h 0   0 0 
-28       0        00h 0   0 0 
-27       0        00h 0   0 0 
-26       0        00h 0   0 0 
-25       0        00h 0   0 0 
-24       0        00h 0   0 0 
-23       0        00h 0   0 0 
-22       0        00h 0   0 0 
-21       0        00h 0   0 0 
-20       0        00h 0   0 0 
-19       0        00h 0   0 0 
-18       0        00h 0   0 0 
-17       0        00h 0   0 0 
-16       0        00h 0   0 0 
-15       0        00h 0   0 0 
-14       0        00h 0   0 0 
-13       0        00h 0   0 0 
-12       0        00h 0   0 0 
-11       0        00h 0   0 0 
-10       0        00h 0   0 0 
-9        0        00h 0   0 0 
-8        0        00h 0   0 0 
-7        0        00h 0   0 0 
-6        0        00h 0   0 0 
-5        0        00h 0   0 0 
-4        0        00h 0   0 0 
-3        0        00h 0   0 0 
-2        0        00h 0   0 0 
-1        0        00h 0   0 0 
0         -8342430 5Bh 0   1 0 
1         -8342430 5Bh 1   1 0 
2         -8258049 3Eh 2   1 0 
3         -8244848 3Dh 3   1 0 
4         -8156683 46h 4   1 0 
5         -8010835 90h 5   1 0 
6         -7991699 C4h 6   1 0 
7         -7939568 54h 7   1 0 
8         -7913959 0Eh 8   1 0 
9         -7885507 19h 9   1 0 
10        -7692961 A8h 10  1 0 
11        -7543185 A2h 11  1 0 
12        -7506504 8Dh 12  1 0 
13        -7460561 8Ch 13  1 0 
14        -7352418 78h 14  1 0 
15        -7255692 FEh 15  1 0 
16        -7179143 DAh 16  1 0 
17        -7131757 F9h 17  1 0 
18        -7100750 9Ch 18  1 0 
19        -7084692 83h 19  1 0 
20        -7035762 81h 20  1 0 
21        -7022183 4Eh 21  1 0 
22        -6872935 B5h 22  1 0 
23        -6840368 25h 23  1 0 
24        -6784188 BAh 24  1 0 
25        -6760974 1Dh 25  1 0 
26        -6696664 9Fh 26  1 0 
27        -6444668 23h 27  1 0 
28        -6425294 44h 28  1 0 
29        -6397058 1Bh 29  1 0 
30        -6375019 ACh 30  1 0 
31        -6372989 16h 31  1 0 
32        -6331527 B2h 32  1 0 
33        -6282192 8Eh 33  1 0 
34        -6278495 61h 34  1 0 
35        -6257092 4Dh 35  1 0 
36        -6210641 71h 36  1 0 
37        -6169434 65h 37  1 0 
38        -5934854 72h 38  1 0 
39        -5902054 59h 39  1 0 
40        -5768145 15h 40  1 0 
41        -5765514 F0h 41  1 0 
42        -5727875 0Fh 42  1 0 
43        -5662030 43h 43  1 0 
44        -5466858 B3h 44  1 0 
45        -5455318 84h 45  1 0 
46        -5437154 63h 46  1 0 
47        -5411027 98h 47  1 0 
48        -5398607 0Bh 48  1 0 
49        -5392251 10h 49  1 0 
50        -5379458 37h 50  1 0 
51        -5347231 EFh 51  1 0 
52        -5257715 A7h 52  1 0 
53        -5147991 5Dh 53  1 0 
54        -5023859 91h 54  1 0 
55        -4969418 ABh 55  1 0 
56        -4895746 BBh 56  1 0 
57        -4891956 38h 57  1 0 
58        -4880414 07h 58  1 0 
59        -4858240 E3h 59  1 0 
60        -4850210 F4h 60  1 0 
61        -4750323 C0h 61  1 0 
62        -4735808 17h 62  1 0 
63        -4534209 D1h 63  1 0 
64        -4520458 C2h 64  1 0 
65        -4394730 62h 65  1 0 
66        -4244808 E5h 66  1 0 
67        -4231842 D3h 67  1 0 
68        -4225023 2Eh 68  1 0 
69        -4158328 ADh 69  1 0 
70        -4108686 3Fh 70  1 0 
71        -4101096 EEh 71  1 0 
72        -4040871 AEh 72  1 0 
73        -4037094 FAh 73  1 0 
74        -3931279 A9h 74  1 0 
75        -3819086 EDh 75  1 0 
76        -3818989 A0h 76  1 0 
77        -3668761 D9h 77  1 0 
78        -3647293 6Bh 78  1 0 
79        -3522032 6Ch 79  1 0 
80        -3461648 97h 80  1 0 
81        -3448315 77h 81  1 0 
82        -3356099 39h 82  1 0 
83        -3327848 53h 83  1 0 
84        -3313363 A3h 84  1 0 
85        -3280115 D4h 85  1 0 
86        -3238863 27h 86  1 0 
87        -3183688 4Ch 87  1 0 
88        -3103063 99h 88  1 0 
89        -3042603 85h 89  1 0 
90        -2889519 E4h 90  1 0 
91        -2838147 3Bh 91  1 0 
92        -2832737 7Dh 92  1 0 
93        -2657847 B6h 93  1 0 
94        -2601747 B0h 94  1 0 
95        -2480133 BFh 95  1 0 
96        -2472170 5Eh 96  1 0 
97        -2456781 52h 97  1 0 
98        -2216152 86h 98  1 0 
99        -2214378 11h 99  1 0 
100       -2198242 49h 100 1 0 
101       -2187478 34h 101 1 0 
102       -2134292 87h 102 1 0 
103       -2127513 93h 103 1 0 
104       -2056450 C3h 104 1 0 
105       -1987764 FCh 105 1 0 
106       -1986922 E9h 106 1 0 
107       -1922597 2Dh 107 1 0 
108       -1920567 B7h 108 1 0 
109       -1861587 B8h 109 1 0 
110       -1565696 00h 110 1 0 
111       -1545141 36h 111 1 0 
112       -1522719 74h 112 1 0 
113       -1491218 45h 113 1 0 
114       -1486554 08h 114 1 0 
115       -1441921 6Dh 115 1 0 
116       -1417808 31h 116 1 0 
117       -1399498 8Fh 117 1 0 
118       -1330075 DBh 118 1 0 
119       -1144395 7Eh 119 1 0 
120       -1122912 60h 120 1 0 
121       -1030519 47h 121 1 0 
122       -992966  55h 122 1 0 
123       -970223  02h 123 1 0 
124       -944135  C8h 124 1 0 
125       -922124  B9h 125 1 0 
126       -896156  6Eh 126 1 0 
127       -889696  4Bh 127 1 0 
128       -754348  32h 128 1 0 
129       -649423  AAh 129 1 0 
130       -576183  FFh 130 1 0 
131       -563707  A4h 131 1 0 
132       -508049  2Bh 132 1 0 
133       -401027  A6h 133 1 0 
134       -353174  AFh 134 1 0 
135       -345829  C1h 135 1 0 
136       -309462  5Fh 136 1 0 
137       -270096  DCh 137 1 0 
138       -192627  F5h 138 1 0 
139       -139124  67h 139 1 0 
140       -131874  1Ch 140 1 0 
141       -28456   9Dh 141 1 0 
142       -772     6Ah 142 1 0 
143       37032    C7h 143 1 0 
144       240681   F7h 144 1 0 
145       263827   70h 145 1 0 
146       411591   9Bh 146 1 0 
147       507829   80h 147 1 0 
148       551418   FDh 148 1 0 
149       658007   3Ch 149 1 0 
150       700748   18h 150 1 0 
151       802274   01h 151 1 0 
152       821613   76h 152 1 0 
153       883747   DDh 153 1 0 
154       896095   05h 154 1 0 
155       947077   96h 155 1 0 
156       950494   D2h 156 1 0 
