Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1           2 

sample

-16       0   0           0 
-15       0   0           0 
-14       0   0           0 
-13       0   0           0 
-12       0   0           0 
-11       0   0           0 
-10       0   0           0 
-9        0   0           0 
-8        0   0           0 
-7        0   0           0 
-6        0   0           0 
-5        0   0           0 
-4        0   0           0 
-3        0   0           0 
-2        0   0           0 
-1        0   0           0 
0         93  -1984620162 1 
1         199 -1971021401 1 
2         91  -1533454768 1 
3         92  -1494340428 1 
4         198 -1126694764 1 
5         196 -1008252819 1 
6         89  -881628286  1 
7         204 -762920961  1 
8         95  -722097561  1 
9         206 -692314799  1 
10        203 -680379850  1 
11        197 -678461501  1 
12        197 -670266269  1 
13        94  -580220661  1 
14        90  -160895929  1 
15        169 4227528     1 
16        17  29021277    1 
17        17  29021277    1 
18        17  29021277    1 
19        17  29021277    1 
20        17  60478557    1 
21        141 82812966    1 
22        192 92155598    1 
23        2   131940160   1 
24        109 132776547   1 
25        41  172337017   1 
26        5   142538002   1 
27        85  177818412   1 
28        3   176783630   1 
29        4   185201094   1 
30        4   183063975   1 
31        7   184378725   1 
32        6   237946661   1 
33        182 332557144   1 
34        149 303220088   1 
35        84  311571966   1 
36        183 317395967   1 
37        70  335221747   1 
38        55  334566387   1 
39        67  372421619   1 
40        168 381326205   1 
41        110 370776954   1 
42        8   382290804   1 
43        12  395127672   1 
44        9   369918328   1 
45        11  383159640   1 
46        63  396420978   1 
47        190 437112669   1 
48        122 446490436   1 
49        29  531892222   1 
50        29  469532119   1 
51        50  447741830   1 
52        10  448722919   1 
53        144 459211224   1 
54        119 475018159   1 
55        173 496528116   1 
56        171 518442499   1 
57        171 513986051   1 
58        32  530905526   1 
59        64  515414526   1 
60        73  522231727   1 
61        105 527228192   1 
62        165 536675725   1 
63        125 536021315   1 
64        125 553353066   1 
65        185 557118349   1 
66        202 561739540   1 
67        118 586486056   1 
68        121 586683845   1 
69        147 587194243   1 
70        97  594117961   1 
71        108 602523069   1 
72        133 610416928   1 
73        143 632716328   1 
74        195 637721610   1 
75        56  660743935   1 
76        56  660941041   1 
77        13  670939441   1 
78        135 683635120   1 
79        134 691352864   1 
80        131 678278432   1 
81        88  711570481   1 
82        87  711368090   1 
83        15  711299163   1 
84        20  712907099   1 
85        102 737474405   1 
86        116 759054138   1 
87        132 762459066   1 
88        66  788436235   1 
89        152 791254885   1 
90        86  804967732   1 
91        23  805238372   1 
92        23  921613924   1 
93        23  917378660   1 
94        14  933902186   1 
95        17  837424459   1 
96        145 840471664   1 
97        128 845520322   1 
98        82  841670499   1 
99        140 846796279   1 
100       27  858266442   1 
101       177 867270504   1 
102       163 877714685   1 
103       194 917512120   1 
104       79  963827156   1 
105       103 979826006   1 
106       38  981047163   1 
107       136 987067843   1 
108       167 1012323395  1 
109       96  1013612389  1 
110       180 1030019439  1 
111       159 1036997205  1 
