Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1        2 

sample

-128      0   0        0 
-127      0   0        0 
-126      0   0        0 
-125      0   0        0 
-124      0   0        0 
-123      0   0        0 
-122      0   0        0 
-121      0   0        0 
-120      0   0        0 
-119      0   0        0 
-118      0   0        0 
-117      0   0        0 
-116      0   0        0 
-115      0   0        0 
-114      0   0        0 
-113      0   0        0 
-112      0   0        0 
-111      0   0        0 
-110      0   0        0 
-109      0   0        0 
-108      0   0        0 
-107      0   0        0 
-106      0   0        0 
-105      0   0        0 
-104      0   0        0 
-103      0   0        0 
-102      0   0        0 
-101      0   0        0 
-100      0   0        0 
-99       0   0        0 
-98       0   0        0 
-97       0   0        0 
-96       0   0        0 
-95       0   0        0 
-94       0   0        0 
-93       0   0        0 
-92       0   0        0 
-91       0   0        0 
-90       0   0        0 
-89       0   0        0 
-88       0   0        0 
-87       0   0        0 
-86       0   0        0 
-85       0   0        0 
-84       0   0        0 
-83       0   0        0 
-82       0   0        0 
-81       0   0        0 
-80       0   0        0 
-79       0   0        0 
-78       0   0        0 
-77       0   0        0 
-76       0   0        0 
-75       0   0        0 
-74       0   0        0 
-73       0   0        0 
-72       0   0        0 
-71       0   0        0 
-70       0   0        0 
-69       0   0        0 
-68       0   0        0 
-67       0   0        0 
-66       0   0        0 
-65       0   0        0 
-64       0   0        0 
-63       0   0        0 
-62       0   0        0 
-61       0   0        0 
-60       0   0        0 
-59       0   0        0 
-58       0   0        0 
-57       0   0        0 
-56       0   0        0 
-55       0   0        0 
-54       0   0        0 
-53       0   0        0 
-52       0   0        0 
-51       0   0        0 
-50       0   0        0 
-49       0   0        0 
-48       0   0        0 
-47       0   0        0 
-46       0   0        0 
-45       0   0        0 
-44       0   0        0 
-43       0   0        0 
-42       0   0        0 
-41       0   0        0 
-40       0   0        0 
-39       0   0        0 
-38       0   0        0 
-37       0   0        0 
-36       0   0        0 
-35       0   0        0 
-34       0   0        0 
-33       0   0        0 
-32       0   0        0 
-31       0   0        0 
-30       0   0        0 
-29       0   0        0 
-28       0   0        0 
-27       0   0        0 
-26       0   0        0 
-25       0   0        0 
-24       0   0        0 
-23       0   0        0 
-22       0   0        0 
-21       0   0        0 
-20       0   0        0 
-19       0   0        0 
-18       0   0        0 
-17       0   0        0 
-16       0   0        0 
-15       0   0        0 
-14       0   0        0 
-13       0   0        0 
-12       0   0        0 
-11       0   0        0 
-10       0   0        0 
-9        0   0        0 
-8        0   0        0 
-7        0   0        0 
-6        0   0        0 
-5        0   0        0 
-4        0   0        0 
-3        0   0        0 
-2        0   0        0 
-1        0   0        0 
0         75  -8107203 1 
1         74  -7389051 1 
2         72  -7232683 1 
3         76  -6684976 1 
4         71  -6202083 1 
5         91  -6085658 1 
6         73  -5653949 1 
7         96  -5179267 1 
8         97  -4863667 1 
9         94  -4740969 1 
10        95  -4703245 1 
11        184 -4671961 1 
12        93  -4479101 1 
13        90  -4381850 1 
14        92  -4218377 1 
15        182 -4191612 1 
16        99  -3913456 1 
17        98  -3694268 1 
18        183 -3634621 1 
19        187 -3046063 1 
20        185 -2685364 1 
21        44  -2643349 1 
22        45  -2528980 1 
23        42  -1913514 1 
24        46  -1907695 1 
25        188 -1648236 1 
26        49  -1573420 1 
27        190 -1414203 1 
28        189 -1334030 1 
29        191 -1262331 1 
30        43  -1250958 1 
31        47  -1186640 1 
32        186 -935620  1 
33        48  -774765  1 
34        0   0        1 
35        137 83774    1 
36        176 119807   1 
37        125 141287   1 
38        2   145301   1 
39        62  147800   1 
40        57  183151   1 
41        31  199532   1 
42        170 208610   1 
43        17  249930   1 
44        204 263529   1 
45        25  348377   1 
46        58  483671   1 
47        41  546762   1 
48        56  566387   1 
49        149 590471   1 
50        219 600474   1 
51        211 651471   1 
52        6   731858   1 
53        169 736620   1 
54        127 781334   1 
55        54  781596   1 
56        8   799787   1 
57        18  819146   1 
58        216 833974   1 
59        1   854583   1 
60        7   868439   1 
61        26  875019   1 
62        3   875282   1 
63        5   894902   1 
64        192 907944   1 
65        126 921759   1 
66        55  957170   1 
67        4   977727   1 
68        212 989162   1 
69        178 1018839  1 
70        36  1033756  1 
71        193 1048421  1 
72        223 1085231  1 
73        196 1104348  1 
74        194 1133296  1 
75        144 1153646  1 
76        164 1171280  1 
77        181 1245374  1 
78        52  1255358  1 
79        9   1271540  1 
80        198 1319885  1 
81        233 1325339  1 
82        156 1338854  1 
83        228 1356610  1 
84        153 1374415  1 
85        215 1375335  1 
86        195 1381432  1 
87        64  1393147  1 
88        148 1461592  1 
89        53  1476789  1 
90        61  1629975  1 
91        230 1630032  1 
92        12  1649678  1 
93        159 1677279  1 
94        220 1697818  1 
95        236 1701516  1 
96        172 1735226  1 
97        63  1750640  1 
98        11  1757626  1 
99        199 1772003  1 
100       197 1775775  1 
101       10  1795659  1 
102       50  1858187  1 
103       30  1893020  1 
104       51  2070755  1 
105       139 2117530  1 
106       206 2148018  1 
107       110 2157708  1 
108       112 2161807  1 
109       200 2175285  1 
110       111 2207892  1 
111       109 2236508  1 
112       108 2247529  1 
113       221 2262589  1 
114       13  2295315  1 
115       132 2349446  1 
116       60  2395730  1 
117       151 2399813  1 
118       122 2448434  1 
119       131 2564127  1 
120       180 2591323  1 
121       234 2692080  1 
122       15  2828184  1 
123       20  2924724  1 
124       114 2934237  1 
125       40  2941520  1 
126       147 2983549  1 
127       133 3039273  1 
128       29  3043686  1 
129       237 3060799  1 
130       174 3072031  1 
131       115 3080249  1 
132       157 3100120  1 
133       154 3110825  1 
134       113 3114512  1 
135       59  3134943  1 
136       231 3144608  1 
137       104 3147000  1 
138       117 3154249  1 
139       143 3154552  1 
140       202 3162619  1 
141       103 3221809  1 
142       134 3226914  1 
143       105 3238863  1 
144       227 3266859  1 
145       118 3287761  1 
146       120 3303218  1 
147       119 3306260  1 
148       116 3315281  1 
149       102 3331661  1 
150       38  3370789  1 
151       203 3441619  1 
152       140 3451609  1 
153       251 3489301  1 
154       201 3519377  1 
155       135 3585185  1 
156       214 3621923  1 
157       210 3654687  1 
158       34  3751206  1 
159       207 3753349  1 
160       24  3770682  1 
161       14  3775175  1 
162       163 3780641  1 
163       121 3814643  1 
164       123 3933560  1 
165       136 3976798  1 
166       255 4035587  1 
167       107 4042037  1 
168       106 4044371  1 
169       100 4051618  1 
170       16  4063445  1 
171       101 4097956  1 
172       124 4146013  1 
173       66  4242402  1 
174       86  4273279  1 
175       167 4419421  1 
176       158 4446561  1 
177       177 4474793  1 
178       89  4581869  1 
179       87  4624982  1 
180       69  4692327  1 
181       150 4748695  1 
182       244 4768532  1 
183       88  4843309  1 
184       240 4877846  1 
185       248 4992357  1 
186       222 5001006  1 
187       168 5004466  1 
188       21  5072153  1 
189       27  5119257  1 
190       254 5162744  1 
191       130 5217329  1 
192       162 5227245  1 
193       146 5337151  1 
194       239 5337186  1 
195       252 5373300  1 
196       243 5393801  1 
197       70  5467624  1 
198       205 5484809  1 
199       226 5552216  1 
200       175 5561440  1 
201       213 5667542  1 
202       224 5700933  1 
203       171 5757899  1 
204       33  5761875  1 
205       19  5776496  1 
206       160 5826081  1 
207       173 5832351  1 
208       82  5850269  1 
209       84  5877402  1 
210       218 5916582  1 
211       65  6094209  1 
212       247 6102723  1 
213       83  6109853  1 
214       165 6126234  1 
215       85  6153120  1 
216       28  6239989  1 
217       225 6300472  1 
218       179 6303719  1 
219       77  6408135  1 
220       238 6567033  1 
221       78  6637408  1 
222       161 6644842  1 
223       32  6718037  1 
224       79  6719025  1 
225       229 6768134  1 
226       67  6869941  1 
227       68  6968504  1 
228       245 6968893  1 
229       166 7007486  1 
230       37  7032431  1 
231       253 7079260  1 
232       138 7110451  1 
233       246 7313419  1 
234       249 7315664  1 
235       23  7398122  1 
236       35  7418823  1 
237       208 7521499  1 
238       235 7529860  1 
239       152 7633027  1 
240       232 7675421  1 
241       145 7681244  1 
242       141 7704179  1 
243       22  7721853  1 
244       142 7737450  1 
245       209 7764605  1 
246       39  7862434  1 
247       80  7936713  1 
248       128 7961978  1 
249       241 7983246  1 
250       242 7986632  1 
251       217 8191456  1 
252       129 8246670  1 
253       155 8282955  1 
254       81  8329163  1 
255       250 8365142  1 
256       250 8365142  1 
257       250 8365142  1 
258       250 8365142  1 
259       250 8365142  1 
260       250 8365142  1 
261       250 8365142  1 
262       250 8365142  1 
263       250 8365142  1 
264       250 8365142  1 
265       250 8365142  1 
266       250 8365142  1 
267       250 8365142  1 
268       250 8365142  1 
269       250 8365142  1 
270       250 8365142  1 
271       250 8365142  1 
272       250 8365142  1 
273       250 8365142  1 
274       250 8365142  1 
275       250 8365142  1 
276       250 8365142  1 
277       250 8365142  1 
278       250 8365142  1 
279       250 8365142  1 
280       250 8365142  1 
281       250 8365142  1 
282       250 8365142  1 
283       250 8365142  1 
284       250 8365142  1 
285       250 8365142  1 
286       250 8365142  1 
287       250 8365142  1 
288       250 8365142  1 
289       250 8365142  1 
290       250 8365142  1 
291       250 8365142  1 
292       250 8365142  1 
293       250 8365142  1 
294       250 8365142  1 
295       250 8365142  1 
296       250 8365142  1 
297       250 8365142  1 
298       250 8365142  1 
299       250 8365142  1 
300       250 8365142  1 
301       250 8365142  1 
302       250 8365142  1 
303       250 8365142  1 
304       250 8365142  1 
305       250 8365142  1 
306       250 8365142  1 
307       250 8365142  1 
308       250 8365142  1 
309       250 8365142  1 
310       250 8365142  1 
