Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1           2 

sample

-128      0   0           0 
-127      0   0           0 
-126      0   0           0 
-125      0   0           0 
-124      0   0           0 
-123      0   0           0 
-122      0   0           0 
-121      0   0           0 
-120      0   0           0 
-119      0   0           0 
-118      0   0           0 
-117      0   0           0 
-116      0   0           0 
-115      0   0           0 
-114      0   0           0 
-113      0   0           0 
-112      0   0           0 
-111      0   0           0 
-110      0   0           0 
-109      0   0           0 
-108      0   0           0 
-107      0   0           0 
-106      0   0           0 
-105      0   0           0 
-104      0   0           0 
-103      0   0           0 
-102      0   0           0 
-101      0   0           0 
-100      0   0           0 
-99       0   0           0 
-98       0   0           0 
-97       0   0           0 
-96       0   0           0 
-95       0   0           0 
-94       0   0           0 
-93       0   0           0 
-92       0   0           0 
-91       0   0           0 
-90       0   0           0 
-89       0   0           0 
-88       0   0           0 
-87       0   0           0 
-86       0   0           0 
-85       0   0           0 
-84       0   0           0 
-83       0   0           0 
-82       0   0           0 
-81       0   0           0 
-80       0   0           0 
-79       0   0           0 
-78       0   0           0 
-77       0   0           0 
-76       0   0           0 
-75       0   0           0 
-74       0   0           0 
-73       0   0           0 
-72       0   0           0 
-71       0   0           0 
-70       0   0           0 
-69       0   0           0 
-68       0   0           0 
-67       0   0           0 
-66       0   0           0 
-65       0   0           0 
-64       0   0           0 
-63       0   0           0 
-62       0   0           0 
-61       0   0           0 
-60       0   0           0 
-59       0   0           0 
-58       0   0           0 
-57       0   0           0 
-56       0   0           0 
-55       0   0           0 
-54       0   0           0 
-53       0   0           0 
-52       0   0           0 
-51       0   0           0 
-50       0   0           0 
-49       0   0           0 
-48       0   0           0 
-47       0   0           0 
-46       0   0           0 
-45       0   0           0 
-44       0   0           0 
-43       0   0           0 
-42       0   0           0 
-41       0   0           0 
-40       0   0           0 
-39       0   0           0 
-38       0   0           0 
-37       0   0           0 
-36       0   0           0 
-35       0   0           0 
-34       0   0           0 
-33       0   0           0 
-32       0   0           0 
-31       0   0           0 
-30       0   0           0 
-29       0   0           0 
-28       0   0           0 
-27       0   0           0 
-26       0   0           0 
-25       0   0           0 
-24       0   0           0 
-23       0   0           0 
-22       0   0           0 
-21       0   0           0 
-20       0   0           0 
-19       0   0           0 
-18       0   0           0 
-17       0   0           0 
-16       0   0           0 
-15       0   0           0 
-14       0   0           0 
-13       0   0           0 
-12       0   0           0 
-11       0   0           0 
-10       0   0           0 
-9        0   0           0 
-8        0   0           0 
-7        0   0           0 
-6        0   0           0 
-5        0   0           0 
-4        0   0           0 
-3        0   0           0 
-2        0   0           0 
-1        0   0           0 
0         93  -1984620162 1 
1         199 -1971021401 1 
2         91  -1533454768 1 
3         92  -1494340428 1 
4         198 -1124556138 1 
5         196 -1011890065 1 
6         89  -881071742  1 
7         204 -762920961  1 
8         95  -721606033  1 
9         206 -692314799  1 
10        200 -680379850  1 
11        203 -678429753  1 
12        197 -670266257  1 
13        205 -636965649  1 
14        94  -580220145  1 
15        207 -545639257  1 
16        90  -160895921  1 
17        231 7970134     1 
18        214 47054294    1 
19        221 123783174   1 
20        88  182158947   1 
21        87  182163171   1 
22        233 182388451   1 
23        92  182126179   1 
24        121 182130275   1 
25        89  182130275   1 
26        205 182388323   1 
27        200 182388451   1 
28        109 182126179   1 
29        74  182263628   1 
30        93  178214414   1 
31        83  177803023   1 
32        83  177803055   1 
33        83  177803055   1 
34        93  182015982   1 
35        77  182015405   1 
36        71  182011375   1 
37        245 226295630   1 
38        70  235824943   1 
39        254 242169458   1 
40        215 480437615   1 
41        230 346223983   1 
42        227 363516011   1 
43        182 363000170   1 
44        149 346801514   1 
45        183 346740078   1 
46        110 346740075   1 
47        168 346706031   1 
48        84  480408942   1 
49        70  497774955   1 
50        119 497770858   1 
51        67  480997739   1 
52        64  480986223   1 
53        4   497766511   1 
54        55  497238123   1 
55        24  319573596   1 
56        233 363884644   1 
57        253 422700682   1 
58        218 435481032   1 
59        1   437017180   1 
60        11  436489816   1 
61        29  453798493   1 
62        190 437079645   1 
63        10  483291879   1 
64        122 483288038   1 
65        50  483391458   1 
66        175 496560884   1 
67        32  501674983   1 
68        153 501671655   1 
69        171 513986055   1 
70        173 536184461   1 
71        164 536054631   1 
72        222 537702072   1 
73        229 546025418   1 
74        144 972810862   1 
75        127 955972463   1 
76        64  955939434   1 
77        125 553352814   1 
78        185 557605773   1 
79        202 559642388   1 
80        73  1004316201  1 
81        105 1004320556  1 
82        118 587039016   1 
83        121 584627653   1 
84        155 587194243   1 
85        220 594279656   1 
86        184 594522012   1 
87        225 594526105   1 
88        203 594451101   1 
89        236 602524585   1 
90        216 606706536   1 
91        141 606767652   1 
92        143 631168808   1 
93        195 638246474   1 
94        141 728730013   1 
95        143 711965081   1 
96        216 705464297   1 
97        215 705472489   1 
98        148 714901475   1 
99        186 714909667   1 
100       194 672966625   1 
101       135 766805857   1 
102       134 758425441   1 
103       159 758425441   1 
104       188 758171296   1 
105       188 803784864   1 
106       188 804962976   1 
107       188 827441312   1 
108       180 826392736   1 
109       180 869384352   1 
110       188 827441320   1 
111       180 826392736   1 
112       188 827449512   1 
113       188 859922592   1 
114       188 827416744   1 
115       188 874245280   1 
116       188 874237088   1 
117       188 874212512   1 
118       188 906751136   1 
119       188 907799712   1 
120       188 907758752   1 
121       188 916155560   1 
122       188 874204328   1 
123       188 875622056   1 
124       247 909513727   1 
125       188 917532328   1 
126       217 937793397   1 
127       243 939758305   1 
128       248 956272687   1 
129       221 972256746   1 
130       252 997200444   1 
131       188 1028704928  1 
132       188 1028713120  1 
133       188 1028713120  1 
134       180 1061218978  1 
135       188 1070656160  1 
136       188 1029229216  1 
137       188 1028188832  1 
138       188 1070123680  1 
139       255 1124808903  1 
140       188 2037046059  1 
141       159 2045434661  1 
142       234 2071649071  1 
143       255 1509874231  1 
144       231 1541863997  1 
145       255 1541863995  1 
146       239 1541863995  1 
147       239 1541831225  1 
148       239 1541863995  1 
149       239 1541855803  1 
150       231 1541863993  1 
151       239 1541855803  1 
152       239 1541855803  1 
153       103 1541823033  1 
154       239 1499912763  1 
155       239 1541855803  1 
156       103 1541823033  1 
157       239 1541823035  1 
158       239 1500969531  1 
159       111 1541863993  1 
160       231 1541863995  1 
161       239 1542904379  1 
162       111 2036783665  1 
163       231 2079783483  1 
164       239 2079775291  1 
165       111 2079783481  1 
166       239 2079783483  1 
167       239 2079783483  1 
168       111 2079775289  1 
169       239 2079783483  1 
170       239 2079783483  1 
171       103 2071394873  1 
172       231 2079783483  1 
173       239 2079783483  1 
174       111 2079783481  1 
175       239 2078734875  1 
176       239 2036791867  1 
177       111 2078734905  1 
178       239 2037840443  1 
179       239 2045172283  1 
180       111 2079775289  1 
181       231 2079783483  1 
182       239 2128009755  1 
183       111 2128009785  1 
184       239 2126969403  1 
185       239 2130115131  1 
186       103 1134884921  1 
187       240 1136060394  1 
188       138 1161070382  1 
189       28  1218503928  1 
190       210 1223865277  1 
191       223 1235480886  1 
192       234 2127473279  1 
193       250 1244506239  1 
194       181 1253420090  1 
195       248 1259198567  1 
196       251 1287384892  1 
197       249 1288150408  1 
198       250 1294773375  1 
199       151 1300212011  1 
200       252 1312468012  1 
201       250 1316728317  1 
202       146 1328391803  1 
203       246 1337630373  1 
204       209 1354349374  1 
205       27  1354479231  1 
206       248 1493135356  1 
207       153 1526578174  1 
208       252 1563274411  1 
209       250 1588570749  1 
210       250 1618913407  1 
211       245 1672067630  1 
212       251 1676456441  1 
213       249 1945090618  1 
214       255 1953496302  1 
215       146 2000677673  1 
216       120 2021506094  1 
217       254 2049686639  1 
218       184 1361968424  1 
219       62  1388164287  1 
220       228 1413281580  1 
221       182 1450096316  1 
222       235 1486400621  1 
223       244 1493255617  1 
224       240 1552639458  1 
225       211 1558900012  1 
226       186 1592571570  1 
227       184 1610611873  1 
228       150 1668265007  1 
229       156 1706948207  1 
230       153 2041312447  1 
231       150 1667868207  1 
232       217 1719205109  1 
233       177 1765795316  1 
234       176 1789439276  1 
235       154 1853595433  1 
236       178 1865989309  1 
237       188 1881773282  1 
238       187 1907996586  1 
239       186 1962594088  1 
240       191 1965680169  1 
241       189 1995304175  1 
242       157 2021390009  1 
243       158 2066404795  1 
244       162 1568652413  1 
245       191 1568652927  1 
246       187 1568390965  1 
247       238 1618303475  1 
248       250 1634040127  1 
249       251 1656478943  1 
250       243 1675288960  1 
251       239 1765175202  1 
252       250 1794192694  1 
253       242 1799747186  1 
254       243 1945265270  1 
255       249 1823448872  1 
256       249 1823448872  1 
257       249 1823448872  1 
258       249 1823448872  1 
259       249 1823448872  1 
260       249 1823448872  1 
261       249 1823448872  1 
262       249 1823448872  1 
263       249 1823448872  1 
264       249 1823448872  1 
265       249 1823448872  1 
266       249 1823448872  1 
267       249 1823448872  1 
268       249 1823448872  1 
269       249 1823448872  1 
270       249 1823448872  1 
271       249 1823448872  1 
272       249 1823448872  1 
273       249 1823448872  1 
274       249 1823448872  1 
275       249 1823448872  1 
276       249 1823448872  1 
277       249 1823448872  1 
278       249 1823448872  1 
279       249 1823448872  1 
280       249 1823448872  1 
281       249 1823448872  1 
282       249 1823448872  1 
283       249 1823448872  1 
284       249 1823448872  1 
285       249 1823448872  1 
286       249 1823448872  1 
287       249 1823448872  1 
288       249 1823448872  1 
289       249 1823448872  1 
290       249 1823448872  1 
291       249 1823448872  1 
292       249 1823448872  1 
